
2025/02/23 (14:06:05) | ===> btop++ v.1.4.0
2025/02/23 (14:06:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/23 (14:56:03) | ===> btop++ v.1.4.0
2025/02/23 (14:56:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/23 (15:26:49) | ===> btop++ v.1.4.0
2025/02/23 (15:26:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/23 (15:28:03) | ===> btop++ v.1.4.0
2025/02/23 (15:28:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/23 (19:30:32) | ===> btop++ v.1.4.0
2025/02/23 (19:30:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/24 (19:12:16) | ===> btop++ v.1.4.0
2025/02/24 (19:12:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/24 (20:53:04) | ===> btop++ v.1.4.0
2025/02/24 (20:53:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (19:04:38) | ===> btop++ v.1.4.0
2025/02/25 (19:04:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/27 (08:06:30) | ===> btop++ v.1.4.0
2025/02/27 (08:06:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/27 (21:34:05) | ===> btop++ v.1.4.0
2025/02/27 (21:34:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/15 (14:36:10) | ===> btop++ v.1.4.0
2025/03/15 (14:36:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/15 (15:13:53) | ===> btop++ v.1.4.0
2025/03/15 (15:13:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/15 (16:07:23) | ===> btop++ v.1.4.0
2025/03/15 (16:07:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/16 (15:55:40) | ===> btop++ v.1.4.0
2025/03/16 (15:55:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/16 (16:00:29) | ===> btop++ v.1.4.0
2025/03/16 (16:00:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/17 (18:34:33) | ===> btop++ v.1.4.0
2025/03/17 (18:34:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/18 (22:09:53) | ===> btop++ v.1.4.0
2025/03/18 (22:09:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/20 (21:56:22) | ===> btop++ v.1.4.0
2025/03/20 (21:56:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/30 (19:08:17) | ===> btop++ v.1.4.0
2025/03/30 (19:08:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/30 (21:26:42) | ===> btop++ v.1.4.0
2025/03/30 (21:26:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/31 (15:27:11) | ===> btop++ v.1.4.0
2025/03/31 (15:27:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/03 (21:30:47) | ===> btop++ v.1.4.0
2025/04/03 (21:30:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/20 (21:03:56) | ===> btop++ v.1.4.0
2025/04/20 (21:03:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/22 (01:23:47) | ===> btop++ v.1.4.0
2025/04/22 (01:23:47) | WARNING: Intel GPU: Failed to initialize PMU
