
2025/02/23 (14:06:05) | ===> btop++ v.1.4.0
2025/02/23 (14:06:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/23 (14:56:03) | ===> btop++ v.1.4.0
2025/02/23 (14:56:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/23 (15:26:49) | ===> btop++ v.1.4.0
2025/02/23 (15:26:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/23 (15:28:03) | ===> btop++ v.1.4.0
2025/02/23 (15:28:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/23 (19:30:32) | ===> btop++ v.1.4.0
2025/02/23 (19:30:32) | WARNING: Intel GPU: Failed to initialize PMU
